               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061474,            0.023309,            0.065332,             0.15423,             0.30635,             0.15047,            0.082857,            0.035287,            0.012078,            0.061616,             0.07012,           0.0033199,           0.0033199
                   1,            0.041919,            0.012751,             0.05686,             0.49789,             0.38796,             0.46054,             0.24129,             0.03349,           0.0098538,             0.04708,            0.040055,           0.0065874,           0.0065874
                   2,            0.043399,            0.010744,            0.033526,             0.78221,             0.76776,             0.81073,             0.46039,            0.036706,           0.0087538,            0.017412,           0.0099227,           0.0097889,           0.0097889
                   3,            0.039567,            0.009556,            0.012524,             0.90261,             0.89519,             0.94203,             0.56259,            0.030749,           0.0078679,           0.0075191,            0.009703,            0.009703,            0.009703
                   4,            0.034782,           0.0089678,            0.007696,             0.90289,             0.88975,             0.94589,             0.57973,            0.029812,           0.0076579,            0.008824,            0.009703,            0.009703,            0.009703
                   5,            0.031981,           0.0086298,           0.0066444,              0.9296,             0.91613,             0.96164,             0.63966,            0.024551,           0.0078038,           0.0054382,            0.009604,            0.009604,            0.009604
                   6,            0.030526,           0.0085601,            0.005871,             0.94281,             0.93253,             0.97229,             0.67048,            0.025545,           0.0070639,           0.0044252,            0.009505,            0.009505,            0.009505
                   7,            0.029136,           0.0083159,           0.0052506,             0.96932,             0.94089,             0.97478,             0.67239,            0.023735,           0.0070334,           0.0034522,            0.009406,            0.009406,            0.009406
                   8,             0.02848,           0.0080879,           0.0047316,             0.97869,             0.96533,             0.98373,             0.69484,            0.022194,           0.0065112,           0.0028341,            0.009307,            0.009307,            0.009307
                   9,            0.027279,           0.0079325,           0.0041477,              0.9759,             0.97639,             0.98885,             0.70855,            0.021646,           0.0063486,           0.0026016,            0.009208,            0.009208,            0.009208
                  10,            0.026141,           0.0076495,           0.0035322,             0.97926,             0.97446,             0.98802,             0.69852,            0.021795,           0.0062889,           0.0024021,            0.009109,            0.009109,            0.009109
                  11,            0.025507,           0.0076367,           0.0035817,             0.94112,             0.92634,             0.96775,             0.69496,            0.020989,           0.0071059,           0.0052453,             0.00901,             0.00901,             0.00901
                  12,            0.025069,           0.0074942,           0.0034325,              0.9817,             0.98174,             0.98892,             0.72853,            0.019981,            0.006026,           0.0020879,            0.008911,            0.008911,            0.008911
                  13,            0.025029,           0.0076078,           0.0034825,             0.97703,             0.96851,             0.98701,             0.72948,            0.020326,           0.0061986,           0.0021274,            0.008812,            0.008812,            0.008812
                  14,            0.024284,           0.0075575,           0.0034602,             0.97913,             0.97961,              0.9869,             0.72652,            0.019876,           0.0060385,           0.0019862,            0.008713,            0.008713,            0.008713
                  15,            0.023993,              0.0074,           0.0032362,             0.98006,             0.97318,              0.9889,             0.74164,            0.019382,           0.0059991,           0.0020914,            0.008614,            0.008614,            0.008614
                  16,            0.023548,           0.0070774,           0.0028015,             0.98406,              0.9842,             0.99051,             0.75099,            0.018669,           0.0058467,           0.0016754,            0.008515,            0.008515,            0.008515
                  17,            0.023164,           0.0070332,           0.0026236,             0.98443,             0.98612,             0.99112,             0.75226,            0.018142,           0.0057064,           0.0015002,            0.008416,            0.008416,            0.008416
                  18,            0.022948,           0.0068467,           0.0025191,             0.98699,              0.9865,              0.9907,             0.75026,            0.018596,            0.005679,           0.0015573,            0.008317,            0.008317,            0.008317
                  19,            0.022529,            0.006844,           0.0024434,             0.98752,             0.98661,             0.99086,              0.7575,             0.01813,            0.005587,           0.0014584,            0.008218,            0.008218,            0.008218
                  20,            0.022086,           0.0068686,           0.0022848,             0.99013,              0.9866,              0.9921,             0.75867,            0.017706,           0.0055129,           0.0014104,            0.008119,            0.008119,            0.008119
                  21,            0.022164,           0.0069487,           0.0024448,             0.98557,             0.98607,             0.99154,             0.76186,            0.017734,           0.0055795,           0.0014321,             0.00802,             0.00802,             0.00802
                  22,            0.022075,           0.0069136,           0.0024254,             0.98855,             0.98934,              0.9912,              0.7674,            0.017522,           0.0055065,           0.0013418,            0.007921,            0.007921,            0.007921
                  23,            0.021831,           0.0069193,           0.0022355,             0.98651,             0.98804,             0.99164,             0.76673,            0.017354,           0.0055243,           0.0012678,            0.007822,            0.007822,            0.007822
                  24,            0.021521,           0.0068089,           0.0022436,             0.99056,             0.98792,             0.99192,             0.77209,            0.017251,           0.0054199,           0.0012386,            0.007723,            0.007723,            0.007723
                  25,            0.021344,           0.0067488,           0.0021834,             0.98966,             0.98943,             0.99221,             0.76811,            0.017019,           0.0054141,           0.0011908,            0.007624,            0.007624,            0.007624
                  26,            0.021269,           0.0066678,           0.0020829,             0.99104,             0.98971,             0.99244,             0.77794,            0.016697,           0.0052873,            0.001164,            0.007525,            0.007525,            0.007525
                  27,            0.021227,           0.0067029,           0.0021294,             0.98941,             0.99103,              0.9923,             0.77451,            0.016888,           0.0053851,           0.0011513,            0.007426,            0.007426,            0.007426
                  28,            0.020893,           0.0065677,           0.0021141,             0.99149,              0.9899,             0.99284,             0.77439,            0.016806,           0.0053411,           0.0012224,            0.007327,            0.007327,            0.007327
                  29,            0.020968,           0.0064477,           0.0018972,             0.99264,             0.99103,             0.99253,              0.7818,            0.016471,           0.0052141,           0.0010562,            0.007228,            0.007228,            0.007228
                  30,            0.020599,           0.0065599,            0.001815,             0.99058,             0.98972,             0.99273,             0.78142,            0.016677,           0.0052661,           0.0011331,            0.007129,            0.007129,            0.007129
                  31,            0.020587,           0.0065621,            0.002118,             0.99149,             0.98997,               0.993,             0.78093,            0.016407,           0.0052353,           0.0010552,             0.00703,             0.00703,             0.00703
                  32,            0.020509,           0.0064739,            0.001985,             0.98941,             0.99296,             0.99299,             0.78347,             0.01621,           0.0052053,           0.0010176,            0.006931,            0.006931,            0.006931
                  33,            0.020415,           0.0064306,           0.0019031,             0.99142,             0.99209,             0.99322,             0.78688,            0.016024,           0.0051765,          0.00092877,            0.006832,            0.006832,            0.006832
                  34,            0.020146,           0.0063573,           0.0018702,             0.99298,             0.99228,             0.99296,             0.79029,            0.015965,            0.005103,          0.00090703,            0.006733,            0.006733,            0.006733
                  35,            0.020105,           0.0064092,           0.0017649,             0.99297,             0.99331,             0.99364,             0.79123,            0.015848,            0.005064,          0.00092049,            0.006634,            0.006634,            0.006634
                  36,            0.020021,           0.0063147,           0.0016535,             0.99308,             0.99472,             0.99354,             0.79224,            0.015856,           0.0050503,          0.00086138,            0.006535,            0.006535,            0.006535
                  37,            0.019732,           0.0063345,           0.0016903,             0.99306,             0.99384,             0.99354,              0.7923,            0.015765,           0.0050549,          0.00082717,            0.006436,            0.006436,            0.006436
                  38,            0.019768,           0.0063745,           0.0015768,             0.99423,             0.99229,             0.99354,             0.79315,            0.015647,           0.0050485,          0.00080789,            0.006337,            0.006337,            0.006337
                  39,            0.019671,           0.0062801,           0.0016641,             0.99323,             0.99317,             0.99339,               0.791,             0.01559,           0.0050051,          0.00083012,            0.006238,            0.006238,            0.006238
                  40,            0.019477,           0.0062369,           0.0015414,             0.99174,             0.99453,             0.99361,             0.79701,            0.015556,           0.0049832,          0.00079291,            0.006139,            0.006139,            0.006139
                  41,            0.019071,           0.0060759,           0.0014483,             0.99407,             0.99461,             0.99387,              0.7989,             0.01536,           0.0049234,          0.00075418,             0.00604,             0.00604,             0.00604
                  42,            0.019144,           0.0061614,           0.0014703,             0.99427,              0.9941,             0.99351,             0.79699,            0.015319,           0.0049219,          0.00072094,            0.005941,            0.005941,            0.005941
                  43,            0.019045,           0.0061282,           0.0013884,             0.99443,             0.99339,             0.99339,             0.80156,            0.015262,           0.0048857,          0.00071003,            0.005842,            0.005842,            0.005842
                  44,            0.019001,           0.0061674,           0.0014293,             0.99373,             0.99501,             0.99382,             0.80347,            0.015126,           0.0048611,          0.00068444,            0.005743,            0.005743,            0.005743
                  45,            0.019136,            0.006168,            0.001406,             0.99423,             0.99441,             0.99343,             0.80054,            0.015267,           0.0048959,          0.00073925,            0.005644,            0.005644,            0.005644
                  46,            0.018795,           0.0060926,           0.0013157,             0.99384,             0.99522,             0.99345,             0.80329,            0.015034,           0.0048365,          0.00071172,            0.005545,            0.005545,            0.005545
                  47,            0.018633,           0.0060134,           0.0013601,             0.99416,             0.99507,             0.99364,             0.80755,            0.014894,           0.0048409,          0.00064551,            0.005446,            0.005446,            0.005446
                  48,            0.018541,           0.0059887,           0.0013944,             0.99504,             0.99487,             0.99357,             0.80878,            0.014866,           0.0047938,          0.00060866,            0.005347,            0.005347,            0.005347
                  49,            0.018466,           0.0059237,           0.0013135,             0.99452,             0.99471,             0.99388,              0.8074,            0.014828,           0.0048033,          0.00060107,            0.005248,            0.005248,            0.005248
                  50,            0.018363,           0.0060141,           0.0014106,             0.99442,             0.99533,             0.99375,             0.80928,            0.014792,           0.0047874,          0.00059213,            0.005149,            0.005149,            0.005149
                  51,            0.018578,           0.0060467,           0.0013817,             0.99485,             0.99572,             0.99336,             0.80957,            0.014728,           0.0047669,          0.00056628,             0.00505,             0.00505,             0.00505
                  52,            0.018312,           0.0060054,           0.0012892,             0.99522,             0.99544,             0.99401,             0.81182,            0.014604,           0.0047274,          0.00055353,            0.004951,            0.004951,            0.004951
                  53,            0.018125,           0.0058984,           0.0012067,             0.99553,             0.99524,             0.99335,              0.8126,            0.014499,            0.004729,          0.00056495,            0.004852,            0.004852,            0.004852
                  54,             0.01819,           0.0060168,           0.0012365,              0.9946,             0.99542,             0.99352,             0.81317,            0.014442,           0.0047219,          0.00051082,            0.004753,            0.004753,            0.004753
                  55,            0.018021,           0.0058429,           0.0012332,             0.99544,             0.99499,             0.99337,             0.81363,            0.014419,           0.0046941,          0.00049142,            0.004654,            0.004654,            0.004654
                  56,            0.017703,           0.0058564,           0.0012128,             0.99518,             0.99593,             0.99376,             0.81479,             0.01429,           0.0046623,          0.00047995,            0.004555,            0.004555,            0.004555
                  57,            0.017731,           0.0058381,           0.0011785,             0.99559,             0.99547,             0.99422,             0.81691,            0.014301,           0.0046467,          0.00048526,            0.004456,            0.004456,            0.004456
                  58,            0.017613,           0.0057986,            0.001134,             0.99542,             0.99516,             0.99394,             0.81667,             0.01425,           0.0046354,          0.00045447,            0.004357,            0.004357,            0.004357
                  59,            0.017686,           0.0058131,           0.0011015,              0.9954,             0.99555,             0.99391,              0.8186,            0.014176,           0.0046262,          0.00044493,            0.004258,            0.004258,            0.004258
                  60,            0.017669,           0.0058298,           0.0012149,             0.99518,             0.99606,             0.99392,             0.82013,            0.014148,           0.0046188,          0.00043552,            0.004159,            0.004159,            0.004159
                  61,            0.017534,           0.0058483,           0.0012198,             0.99601,             0.99587,             0.99385,              0.8222,            0.014072,           0.0045803,           0.0004375,             0.00406,             0.00406,             0.00406
                  62,            0.017354,           0.0057251,           0.0010954,             0.99584,             0.99599,             0.99391,             0.82132,            0.014048,           0.0045768,          0.00040237,            0.003961,            0.003961,            0.003961
                  63,            0.017308,           0.0058142,           0.0010146,             0.99569,             0.99629,             0.99408,             0.82302,            0.013947,           0.0045679,          0.00039134,            0.003862,            0.003862,            0.003862
                  64,            0.017126,            0.005708,           0.0010463,             0.99568,             0.99632,             0.99408,              0.8232,            0.013873,           0.0045431,          0.00039491,            0.003763,            0.003763,            0.003763
                  65,            0.017023,           0.0056626,           0.0010297,             0.99548,             0.99647,             0.99431,              0.8254,            0.013787,           0.0045209,          0.00038327,            0.003664,            0.003664,            0.003664
                  66,            0.016983,           0.0057749,           0.0010668,              0.9955,             0.99653,             0.99419,             0.82661,             0.01368,           0.0045019,          0.00037362,            0.003565,            0.003565,            0.003565
                  67,            0.016753,           0.0056274,           0.0010448,             0.99584,             0.99671,              0.9939,             0.82758,            0.013657,           0.0044936,          0.00034943,            0.003466,            0.003466,            0.003466
                  68,            0.016808,           0.0056135,          0.00098387,             0.99614,             0.99638,             0.99385,             0.82673,            0.013642,           0.0044875,          0.00034822,            0.003367,            0.003367,            0.003367
                  69,            0.016624,           0.0056266,           0.0010041,             0.99621,             0.99672,             0.99406,             0.82906,            0.013617,           0.0044653,          0.00036319,            0.003268,            0.003268,            0.003268
                  70,            0.016622,           0.0056386,          0.00096395,              0.9952,             0.99665,             0.99408,             0.83029,            0.013547,             0.00446,          0.00033046,            0.003169,            0.003169,            0.003169
                  71,            0.016554,           0.0056282,          0.00098938,             0.99568,             0.99696,             0.99395,             0.83087,            0.013461,           0.0044505,          0.00031931,             0.00307,             0.00307,             0.00307
                  72,            0.016413,           0.0054571,          0.00092097,             0.99668,             0.99718,              0.9941,             0.83136,            0.013399,           0.0044229,           0.0003219,            0.002971,            0.002971,            0.002971
                  73,            0.016195,           0.0054401,          0.00090863,             0.99654,             0.99684,             0.99423,             0.83295,            0.013354,            0.004399,          0.00031198,            0.002872,            0.002872,            0.002872
                  74,            0.016353,           0.0055633,          0.00091399,             0.99657,              0.9965,             0.99423,             0.83488,            0.013281,           0.0043912,          0.00030812,            0.002773,            0.002773,            0.002773
                  75,            0.016113,           0.0054767,          0.00089103,             0.99653,             0.99687,             0.99433,             0.83519,            0.013254,            0.004385,          0.00030245,            0.002674,            0.002674,            0.002674
                  76,            0.016202,           0.0056294,          0.00088322,             0.99656,             0.99681,             0.99446,             0.83668,            0.013168,           0.0043747,          0.00029158,            0.002575,            0.002575,            0.002575
                  77,            0.015923,           0.0054432,          0.00080683,             0.99665,             0.99683,             0.99448,             0.83763,            0.013134,           0.0043649,          0.00027976,            0.002476,            0.002476,            0.002476
                  78,             0.01567,           0.0053973,          0.00078615,             0.99659,             0.99696,             0.99444,             0.83804,             0.01308,           0.0043462,          0.00027512,            0.002377,            0.002377,            0.002377
                  79,            0.015626,           0.0053766,          0.00080594,             0.99682,             0.99705,             0.99442,              0.8383,            0.013032,           0.0043385,          0.00026641,            0.002278,            0.002278,            0.002278
                  80,            0.015533,           0.0053844,           0.0008321,              0.9966,             0.99727,             0.99441,             0.83998,            0.012968,           0.0043233,          0.00025644,            0.002179,            0.002179,            0.002179
                  81,            0.015538,           0.0053912,          0.00076643,             0.99663,             0.99687,             0.99444,              0.8407,            0.012893,           0.0043093,          0.00024739,             0.00208,             0.00208,             0.00208
                  82,            0.015527,           0.0053771,          0.00081531,             0.99693,             0.99686,             0.99444,             0.84228,            0.012853,           0.0043047,          0.00024212,            0.001981,            0.001981,            0.001981
                  83,            0.015331,           0.0051703,          0.00075683,              0.9967,             0.99698,             0.99448,             0.84381,            0.012786,           0.0042885,          0.00023974,            0.001882,            0.001882,            0.001882
                  84,            0.015333,            0.005243,          0.00077247,             0.99678,             0.99716,             0.99448,             0.84541,            0.012756,           0.0042672,          0.00023501,            0.001783,            0.001783,            0.001783
                  85,            0.015083,           0.0052992,          0.00078022,             0.99666,             0.99709,             0.99445,             0.84578,            0.012711,           0.0042601,          0.00022828,            0.001684,            0.001684,            0.001684
                  86,            0.015131,           0.0051764,          0.00071171,             0.99681,             0.99712,             0.99442,             0.84627,            0.012688,           0.0042479,          0.00022303,            0.001585,            0.001585,            0.001585
                  87,            0.014846,           0.0052287,          0.00070228,             0.99696,             0.99716,             0.99443,             0.84708,            0.012652,           0.0042368,          0.00022007,            0.001486,            0.001486,            0.001486
                  88,            0.014734,           0.0051072,          0.00068354,             0.99702,             0.99726,             0.99442,             0.84849,            0.012591,           0.0042251,          0.00021498,            0.001387,            0.001387,            0.001387
                  89,            0.014803,           0.0052067,          0.00066156,             0.99695,             0.99725,             0.99444,             0.84948,            0.012528,           0.0042099,          0.00020966,            0.001288,            0.001288,            0.001288
                  90,            0.014466,           0.0051169,          0.00068284,             0.99709,             0.99734,             0.99447,             0.85037,            0.012492,           0.0041995,          0.00020281,            0.001189,            0.001189,            0.001189
                  91,            0.014521,           0.0051132,          0.00059838,             0.99705,             0.99732,             0.99445,             0.85149,            0.012446,           0.0041879,          0.00019669,             0.00109,             0.00109,             0.00109
                  92,            0.014539,           0.0051411,          0.00063981,             0.99687,             0.99704,             0.99446,             0.85216,            0.012407,           0.0041777,          0.00019167,            0.000991,            0.000991,            0.000991
                  93,            0.014303,            0.005129,          0.00060854,             0.99695,             0.99707,             0.99445,             0.85311,            0.012372,           0.0041677,          0.00018831,            0.000892,            0.000892,            0.000892
                  94,            0.014128,            0.005028,          0.00057133,             0.99687,             0.99717,             0.99445,             0.85371,            0.012338,           0.0041569,          0.00018443,            0.000793,            0.000793,            0.000793
                  95,            0.014115,            0.004968,          0.00060715,             0.99701,             0.99739,             0.99443,             0.85467,            0.012307,           0.0041479,          0.00017886,            0.000694,            0.000694,            0.000694
                  96,            0.014019,           0.0049917,           0.0005968,             0.99699,             0.99731,             0.99442,             0.85548,             0.01228,           0.0041413,           0.0001749,            0.000595,            0.000595,            0.000595
                  97,            0.013846,           0.0050485,           0.0005639,             0.99703,             0.99739,             0.99439,             0.85621,             0.01225,           0.0041315,          0.00017101,            0.000496,            0.000496,            0.000496
                  98,            0.013864,           0.0049764,          0.00059978,             0.99678,             0.99726,              0.9944,             0.85726,            0.012221,           0.0041225,          0.00016727,            0.000397,            0.000397,            0.000397
                  99,            0.013704,            0.005014,          0.00054446,             0.99667,             0.99755,             0.99442,             0.85792,            0.012191,           0.0041148,          0.00016396,            0.000298,            0.000298,            0.000298
